all: inimũ
navel: o-gun(h)
near: kineghã
neck: gubi͂
neck: mu-to
neck: mú-to
new: kadaɣai
new: kadaghay
new: kadaghay
night: asu
night: asú
night: miminh
nose: sintó
nose: sin-to-tó
nose: sinto-to
not: kare
old: semebe
old: yoghoghoro
old: yoghoghoro
old: yóɣoyoro
old: yóɣoyoro
old: yughu-gha
one: sikire
one: tisiye
one: tisiye
person: yughu
person: yúɣu
play: ghafe ra-
rain: aa
rain: a\a
rat: ghayo
rat: semese
rat: seme-se
red: kanggo
red: kángo
ripe: wáɣaman
ripe: waghamã(n)
river: wadí
river: wadí
root: taté
root: tatɛ́
rope: afusu
rope: kikin
rope: kikin
sand: giri͂
sand: girin
sand: girin(h)
say: ro-
say: ro-
say: ru ro-
say: ru ro-
see: feto-
see: feto-
sharp: kísin
sharp: kisin(h)
short: bagó
short: bagó
shoulder: makie
sing: itiro ri-
sing: itiro ri-
sister: de
sister: de
sister: kude
sit: ba-
sit: ba-
skin: ɣa
skin: gha
sky: ghou
sky: ɣou
sky: xou
sleep: kunun(h) ri-
sleep: kunu͂ ri-
sleep: taghan
small: monogho
smell: fi mi-
smell: páɣa fu foɣomo-
smoke: aku
smoke: áku
smooth: imu-feran
smooth: taa
snake: wasi
snake: wasi
son: mu
sour: ghaè
spit: ɛs-ó si-
spit: mase
spit: mase
spit: mase si-
split: aɣafun-
stand: doto-
stand: maseri-
star: mi
star: mĩ
stone: iro
stone: iró
straight: imidi͂
suck: mi-
suck: on edo-
sun: sawe
sun: sawɛ́
swim: kĩ gho-
tail: osiron
tail: ósiron
tail: wobu
tail: wobú
take: ki ra-
take: ki ra-
take: ra-
take: ra-
that: u-go
that: u-go
they: yogho
they: yoghona
they: yoɣo
they: yoɣo-na
thick: womukumã
thigh: midin
thigh: midin(h)
thin: áseɣe
thin: asege
think: fimo-
think: fimo-
thin: seskadi
this: ne-go
this: ne-go
thorn: ghamoghon
thorn: yamoghõ
thorn: yámo-ɣon
thou: ga
thou: ga
thou: gu
thou: gu
thou: gugu
three: kumandimã
throat: mi
throat: mu-sobo
throat: mu-subo
throw: kosomo
thunder: ghou ru-
thunder: ɣou ru-
tie: ada-
tie: ada-
tie: ada-
today: togò
tomorrow: rigirõ
tongue: fage
tongue: fagɛ́
tooth: maga
tooth: magá
tooth: magá
tree: kasero
tree: kasero
two: kuruma͂
two: kurumã(n)
unripe: kuwo
vagina: ato
vagina: áto
walk: gho-
walk: gho-
walk: ɣo-
wallaby: sí-baɣai
wallaby: si-baghay
warm: apa
warm: apa
warm: ápa
wash: e kin-
wash: ɛ kin-
wash: e kun-
wash: ɛ kun-
water: e
water: ɛ
water: oxo
weep: ife ru-
weep: ifion-
weep: kin-e
weep: kiri-mogo
we: nugu
we: nugu
we: nuna
wet: kaké
what: metnã
white: ɣáya
white: ghaya
who: monoghoi
wife: rã-pasa
wind: kifi
wind: kifí
wing: ba
wing: ba
with: nagha
woman: ran
woman: rã(n)
woman: rã(n)
wood: yi kadé
wood: yi kadɛ́
yesterday: asüwe
you: gugu
you: guna
