all: pɛ́tɛ́
fruit: nebébúkpwɔ
fruit: nɔ́ːyɔ́
full: ˗èénú
girl: náandrɔŋɔ́ŋuɛ
give: ˗àáó
give: ˗àáwó
give: ˗owo
good: mɔmbɛ́
grass: nɛkɛ́sɛ́
green: mebodi
guts: éki
hair: na\uɛ́
hair: nedrué
hand: nɛ\tɛ́
head: nédru
hear: ˗ɔga
heart: nésú
heavy: meŋgbóŋgbó
here: drɪ
here: ˗ídrɪ
here: íza
here: za
he/she: ˗ne
he/she: ˗ne
he/she: ˗ne˗
he/she: ˗ne˗
he/she: ɪ́nɛ˗
he/she: ɪ́nɛ˗
hit: ˗opí
hit: ˗opió
hole: nepólo
horn: nɛ̀ɛ́gá
house: neǯó
how: básí
hunt: ˗odrú
hunt: ˗odrué
husband: námási
I: ímá˗
I: ˗ma
I: ˗ma˗
jaw: nakáŋá
kill: ˗ɔpú
knee: nɛkáːti
know: ˗ɛ̀ɛ́tí
know: ˗ɔti
laugh: eːmvó
laugh: ˗okí
leaf: nebɪ
left: nákɛkú
leg: nɛkɔ́nzɔ́
lie: ˗eɗo
lie: ˗oɗo
liver: námɛmú
long: meɓóɓó
long: meɓoɓó
long: mɔ́ɗa
louse: námakɛkɛdɛ
louse: nám asókɔ
louse: néti
man: na bélu
man: námasi
man: námási
man: nóːmbí
many: mókotu
many: noǯo
many: pima
meat: nenyinyi
meat: néri
moon: nagwɛ́
mother: nayá
mountain: nó
mountain: nó\ólóŋguɛ
mountain: olo
mouth: neƙóró
mouth: netíkpwɔ
name: ɛ́ru
nape: tápu
narrow: mámú
navel: nɛ́kɔtʊ
near: mekúndí
neck: neƙórókpwɔ
new: áːɗia
new: áːɗia
night: nékini
old: mɛkákpwú
one: kana
other: ákínɛ́
other: ákúnɛ́
other: sízi
person: nabúlu
person: naqbélu
person: nóːmbí
play: ˗ɔwa
pull: ɛɗa
push: ˗oti
rain: nɛkʊ́má
rain: osu
rat: nákɔta
rat: nɛ́babili
rat: neːpí
red: mɛŋgbaŋgba
right: nátàátɛ́
river: nɛ́ɗa
road: né ie
root: nekí\wó
rope: namʊgbɛ́lɛ́
rope: nenzépí
rotten: mɔ́mua
round: mebéléndú
rub: ˗oːsí
rub: ˗ɔ\uá
salt: náŋgandǯɔ́
sand: nɛnáːnɛ
say: ˗ɔdiɔ́
say: ˗ɔdiɔ́ko
seed: nékpwɔrɔ
see: ˗oguo
sew: ˗ɔɗa
sharp: ˗àásɛ́
short: mɛyɛyɛrɛ
shoulder: nɛ ɛ́ɓaɓa
sing: ˗ɔːlia
sister: nɛ́dra
sit: ˗eːdrɪ
sit: ˗odrɪ
skin: nekéképí
skin: nékepí
sky: nɔ́rɔ
sleep: ˗eɗo
small: mɛ́sasa
smoke: nɛkɔ́
smooth: ˗ɛːlándá
smooth: ˗ɛndálá
snake: nɛ́tatála
snow: nekúbébélú
son: námasiŋɔŋuɛ
sour: mɛ́kpwakpwa
spit: ásʊ́suá
spit: ˗ɛ\kí
split: ˗àándrɛ́
squeeze: ˗àápɔ́
squeeze: ˗aːdɪ
star: nétulú
stone: nekópí
suck: ˗ɛmvɔ́
sun: néːkó
sweet: nɛ́ːɓó
swell: ˗egu
swell: ˗egue
swim: ˗ɔmia
tail: ná\wi
take: ˗agbá
take: ˗ɛ̀ɛ́ŋá
take: ˗ɔdrua
that: íɛ
that: ínɛ
there: dru
there: ídru
there: ˗íǯe
there: ú
there: únu
they: ˗ɛ
they: ˗ɛ˗
they: íɛ˗
thick: ˗enabóló
thigh: nɛ́ɗʊ
think: ˗aːmbá
thin: mɛɓɛ́ɓɛ́\lɛ́
this: ˗ɛ́
this: índrɪ
this: isi
this: ˗nɛ́
thou: ˗ami
thou: ˗ami˗
thou: ami˗
thou: ímí˗
thou: ˗mi
thou: ˗mi˗
three: sɔ́ta
throw: ˗okpwu
thunder: nágbára
tie: ˗àáti
tie: ˗agbú˗
tie: ˗ati
tie: ˗ɔːri
tie: ˗oti
today: notúne
tomorrow: obúro
tongue: nɛ́kadra
tooth: nɛ\kí
tree: nɛkírɛ
tree: néwo
turn: àá\wí
turn: ˗eːí
turn: ˗eː\wí
turn: ˗eː\wí
two: sóːrú
vomit: ˗ɔnzá
vomit: ˗ɔ̀ɔ́nzá
walk: ɔŋá
walk: ˗òólí
walk: ˗oru
walk: orue
walk: ˗oti
walk: ˗ɔyɔ́
warm: méɗeɗe
wash: ˗ɔba
wash: ˗oŋó
wash: ˗ɔ̀ɔ́bá
water: égwe
water: égwo
we: ˗ama
we: ˗ama˗
we: ama˗
weep: ˗apɔ́
weep: nɔ́ndruá
weep: ˗omú
wet: meɓuɓusu
what: asɛ̀ɛ́ŋuɛ
what: asɔ́diɔ
where: diɓá
where: uadiɓá
white: metólóló
who: adi
who: adiŋuɛ
wide: mɛɓaɓara
wide: mɛŋgbɛ́ŋɛlɛ́
wind: nambimbatɔ́
wing: nekúpápá
wing: nókuːku
wipe: ˗ɔ̀ɔ́wá
woman: nándro
woman: nándro
wood: nɛkírɛ
wood: nɛkírɛ
worm: nésitó
yesterday: obúraba
