all: kul
lip: mæ ganda
lip: mæ tu
live: huna
liver: damal
liver: tasa
long: kuku
louse: gani
louse: ngumba
man: aru
man: aru
man: aryu
man: boro
many: bobo
meat: basi
meat: baši
meat: basi cirɛy
meat: ham
meat: kosokoso
moon: handu
mother: ɲa
mother: ɲango
mountain: ɟindɛ
mountain: tondi
mouth: mæ
name: humu
nape: cigin
nape: safo
narrow: kankam
navel: ma
navel: zammu
near: mana
neck: ɟindɛ
new: soga
new: taga
new: tɛiga
night: kofa
nose: nina
nose: nino funɛy
old: arkusu
old: bɛribɛri
old: kasi
old: žɛna
one: fo
other: waːni
person: boro kul ši
play: korɛy
pull: basu
pull: biraw
pull: biri
pull: bura
pull: buttɛndi
pull: cɛndi
pull: maːsu
pull: toːru
push: nor
push: šita
push: taŋ
push: tanga
push: tasa
push: torko
push: tuti
push: yɛli
rain: kaŋ
rain: misi misi
rain: misi misi
rain: nkiriɲi
rain: nkiriɲi
rain: poku poku
rat: ncan
red: cama
red: cirɛy
red: konkon
right: gumo
right: šɛrranta
river: isa
road: fonda
root: kaː¶i
root: lasal
root: linɟi
rope: karfu
rope: kursal
rope: šillɛy
rope: sugɛy
rope: tarwiti
rotten: fumba
round: gurguti
rub: koši
rub: žiri
rub: žirkiti
salt: ciri
sand: dau taši
sand: lab taši
say: ciːnɛy
say: dɛdɛ
say: har
say: holo
say: ʈi
say: kom
say: ne
say: šɛlan
seed: dumarɛy
seed: fita fita
see: di
seed: izæ
sew: soːga
sew: sorro
sew: ta
short: dumba
short: durin
shoulder: ɟɛsɛ
sing: don
sing: hæ
sing: tɛrgi
sister: wɛyma
sit: ce koli
sit: goro
sit: yofalim
skin: kobta~kautɛ
skin: kuru
sky: bɛna
sleep: ¶irbi
small: buna buna
small: dugušu
small: dumba
small: izæ
small: kaʈu
small: kɛyna
small: koʈa
small: tana
smoke: dullu
smoke: sunnara
smooth: yutta
snake: gondi
snake: labo koyo
snake: mir
snake: nsɛy
snake: salamur
snow: gaːri
sour: moːra
spit: kotokoto
split: harɟi
split: kotlu~kortu
split: šan
split: šɛn
squeeze: kankam
squeeze: ɲuku ɲuku
stand: kɛy
star: handarɛy
stone: tondi
stone: tondi dori
suck: sumsum
sun: wɛyna
sweet: yu
swell: fusu
swim: ži
tail: lɛfa
tail: nsufa
tail: sammɛri
tail: somɛru
take: ɲašu
take: di
take: dogu
take: ɲiši
take: ka
take: kambɛy
take: sambu
take: ta
take: te
take: za
that: din
that: din
that: hɛndi
that: hɛndi
there: no
there: ya
they: ɛy
they: i
they: ngɛy
they: ngi
they: ngi
thick: tɛfɛy
thigh: birbi
think: hongu
think: tamaha͂
thin: maria
thin: tɛfɛy tɛfɛy
thin: tɛfyu
this: wɛy
this: wo
thou: n˗
thou: ni
thou: ni
thou: ni
thou: war
thou: war
thou: war
thou: wara
three: hinza
throw: cɛtaw
throw: ɟindaw
throw: yol˗nɛndi
thunder: katiri
tie: guli
tie: hau
tie: kan¶i
tie: labu
today: ho͂
tomorrow: suba
tomorrow: subba
tongue: denæ
tooth: hiɲaru
tooth: hinga
tooth: karkandi
tooth: lakal gan
tree: turi
turn: bɛrɛ
turn: ɲeli
turn: kilbi
turn: kuːbi
turn: kurba
turn: šinɟi
turn: wanga
turn: windi
turn: zogu
two: hinka
vagina: buti
vagina: buti izæ
vagina: dafa izæ
vomit: lo¶æ
vomit: yɛri
walk: dira
walk: dira
walk: kabay
walk: ko(y)
walk: monno
walk: šangay
walk: šinga
walk: sorro
walk: yabi
walk: zuru
walk: zurzur
warm: honna
wash: kusuru
wash: sosuru
wash: ɲumay
water: donu
water: hari
water: hari karɛy
water: haru faru
weep: hæ
weep: mo hari
weep: mundɛy
we: ir
we: ir
we: iri
we: iri
wet: taya
what: ʈin
what: maʈin
what: mata
what: yakka
when: kaŋ
when: wati kaŋ
where: malla
where: man
white: kaːrɛy
white: kwara
who: may
wide: hay
wind: heu
wind: kokoru
wind: sarra
wing: fata
wipe: tuːsu
with: nda
woman: kabbu wɛy
woman: wɛy
woman: wɛy hiɟi
wood: bundu
wood: firkiti
wood: gan¶i
wood: gatal
wood: gobu
wood: korɛy
wood: sargilla
wood: sumbɛy
wood: sumbɛy
wood: turi
worm: nɟɛri
worm: noni
worm: sankaræ
year: ¶iri
yellow: kara
yellow: karanta
yesterday: bi
