ankle: masi-kamaden
sit: sum
skin: asuk
skin: asuk
skin: asuk
skin: asuk
skin: (h)asuk
sky: keud
sky: keut
sleep: wasisrik
sleep: (wasi) srik
sleep: wasi(-srik)
small: nak
small: nak
small: nakrang
small: nato
smoke: kei nasap
smoke: nasep
smoke: nasep
snake: arma
snake: arma
snake: arma
snake: aruma
snake: aruma
snake: harëma
sour: bnim
sour: singyane
spit: mam-bu
spit: mam-bu
spit: tipandai
stand: asu
stand: asü
star: tuptren
star: tuptren
star: tuptren
stone: demo
stone: dëmo
stone: dəmo
stone: domo
sun: oi
sun: wɒi
sun: woi
sun: (w)oi
sun: woy
sweet: tem
sweet: temei
swim: (bu-)dut
swim: sogatru
swim: sokarei
swim: yarem
tail: sat
tail: sat
tail: sat
tail: sat
take: etirei
that: nggo
that: ngo
that: (u)nngo
there: nggose
they: nëmore
they: nmonot iron
they: nmot ne
they two: nemot naman
thigh: këmbum
thigh: kumbum
this: (i)nggye
this: nje
thou: kat
thou: kmong
thou: kmot
thou: kmot
thou: kmot
thou: knot
three: nanggrik
three: nanggrik
throw: bitipdei
thunder: kukrum
thunder: waprak
tomorrow: nasing
tongue: ambring
tongue: ambring
tongue: ambring
tongue: ambring
tongue: ambriŋ
tooth: singgang
tooth: siŋgaŋ
tooth: singgyang
tooth: siŋyaŋ
tooth: sinjang
tooth: wasëra
tree: di
tree: di
tree: di
tree: di
tree: diʔi
tree: kinuk
two: naman
two: naman
two: naman
two: naman
two: naman
vagina: këma
vagina: kma
walk: asu
walk: masi-masi
walk: masi-natong
walk: natre
wallaby: asuo
wallaby: saluden
wash: bu-sangse
water: bu
water: bu
water: bu
water: bu
weep: namobu
weep: u-kong natong
weep: unam-bu
weep: unëm-bu
weep: uwa-kong
we: kame
we: kame
we: ka(me)
we: met
we: miet
wet: bu
wet: bu-bu
we two (incl.): met naman
what: sando(k)
what: sëngando
what: sengga(ndo)
when: kandi ku ne
where: kandi
white: klaput
white: krafut
white: kraput
who: nande
who: nande
wife: kambong
wife: kambung
wind: membi
wind: nembit
wind: nepit
wind: nipit
wind: nipit
wing: tambang
wing: tambang
wing: tambaŋ
woman: kambung
woman: kambung
woman: kambun(g)
woman: kambuŋ
wood: diʔi
wood: kei
yellow: yanggu(-yanggo)
yellow: yanggu-yanggu
yesterday: nening
yesterday: wonyo
you: këmo(t)
you: kmot
you: kmot
you two: kmot naman
