ankle: wuḍaʎi
say: ŋaḷwi
scratch: gaʎaɲmi
scratch: iriɟabi
scratch: ŋuya
scratch: wuɹ̣argbi
seed: ŋaɲɟi
see: ŋaɟbi
see: ŋaɟ-bi
see: ŋaɟ-bi
see: ŋaɟ-bi
short: gubaɟi
short: munduɹ̣i
shoulder: bigala
shoulder: maḷaŋaɲɟi
sing: niɟ-bi
sing: niɟ-bi
sing: niɟ-bi
sister: babaɲa
sister: babaɲa
sister: babaɲa
sister: bayida
sister: gaguḍa
sister: gaguliɲa
sit: mira
skin: aŋaːŋa
skin: waba
sleep: gulu
sleep: gulug-bi
sleep: gulug-bi
smell: buɟa
smell: maṇdura
smoke: yugala
smooth: damaḷa
snake: mimari
spit: ɟabula
spit: baŋa
spit: kuɟkuli
spit: ŋuṇŋuḷi
split: gilinma
stand: garanbi
star: ɟingiɟi
stone: guda
stone: namira
straight: diṇdiɟa
suck: buŋbuŋbi
sun: gambada
sweet: wawuɲɟi
sweet: wawuna
swell: lumbilumbi
swim: waɟaŋaṇɟa
tail: baɲɟaŋanima
tail: ɟudiyama
take: ŋira
take: yabu
that: in-iyaga ~ -anama
there: giliyaga
there: gingi
they: ira
they: iriyani
they two: wuḷa
they two: wuḷaka
they two: wuḷuwani
they: wiraka
thigh: ɟaga
thigh: munŋuɟaga
think: manku
this: ini
this: mama
this: nana
this: yana
thou: ɲami(ṇiɟi)
thou: ɲami(ṇiɟi)
thou: gira
thou: giriyani
thou: kiraka
thou: ŋaŋgi
three: murguɲɟi
throat: biṇmanma
throat: guraŋaɲma
throw: baɲɟari
thunder: yanduguɹ̣uṇa
tie: ɟaŋbidi
today: ɟalaɲi
tomorrow: bulinama
tomorrow: ŋiɟininima
tongue: ŋaɲɟala
tooth: guɟaŋga
tooth: liɟa
tree: daraŋgu
turn: guɲari
turn: yaŋami
two: guɟara
vagina: giɹ̣i
vagina: gindaṇi
vagina: ɟindinari
vagina: lurguma
vomit: ɟabaṇḍa
walk: baḍbi
walk: buɟbi
walk: dalwi
walk: yaru
walk: yarubuḍu
wallaby: ŋuluŋulu
wallaby: wangari
warm: liɲɟargbi
warm: ŋaraŋara
warm: wuruŋaɟi
wash: liŋba
wash: wagaḍbi
water: gaʎuriŋi
water: ŋuwi
water: waṇami
weep: milara
weep: yugu
we (excl.): ŋira
we (excl.): ŋiraka
we (excl.): ŋiriwani
we (incl.): ŋura
we (incl.): ŋuraka
we (incl.): ŋuruwani
wet: ɟirgula
we two (excl.): ŋuḷa
we two (excl.): ŋuḷaka
we two (excl.): ŋuḷuwani
we two (incl.): miṇda
we two (incl.): miṇdaka
we two (incl.): miṇḍiyani
what: gayini
when: yaŋulu
where: iɲɟani
white: ɟaragura
white: magira
who: gayini
wife: gaɹ̣iɲa
wife: gaɹ̣iːḍa
wife: muŋguɟbiliɲa
wind: magura
wind: wunba
wing: ɟaḷu
woman: giriya
woman: naḍuṇa
woman: nayida
wood: daraŋgu
woomera: giminga
woomera: ŋaḷiga
yellow: dangura
yesterday: ŋiɟini
you two: guḷa
you two: guḷuwani
you two: kuḷaka
