and: waw
see: ɲa
see: ɲa
see: ɲaːgi
see: ɲaːwa
sharp: giːri
sharp: ŋuːrgan
sharp: wuduːwa
short: ɟaligam
sing: dalga
sing: daːlga
sister: dawa
sister: giːɟar
sister: ɟiɟa
sister: ɟiɟaːga
sit: ŋayiŋgi
sit: (n)inaːga
skin: gulaːm
sleep: baguːli
sleep: guːŋguwa
sleep: waga
small: ɟaligam
small: bunaɲ
smoke: ɟuːm
snake: duŋguːɲ
snake: mangaɲ
snow: guːwa
sour: ɟaːngun
spit: waːṛa
spit: war̥a
split: biligaygi
stand: ɟagaɲɟi
star: meːri
stone: daːmbar
stone: muniːm
sun: ŋayan
sun: ŋayan
sweet: duŋaːr
sweet: ɟugaːbay
swim: bawgi
swim: (w)uraːli
tail: uga
tail: ɟuːn
take: maːla
take: maː(n)
take: maːna
take: maːni
take: maːra
that: yaraŋ
there: ɟaːɟi
there: guɟu
there: (y)alaːṛa
there: yaraŋ
they: ŋiyaŋgidam
they two: (ŋilina) bulari
they: ɲungaɲ
thigh: ɟaːṛa
thigh: ŋar̥i
this: (ŋ)aɟɪ
this: yaːm
thou: ŋinda
thou: ŋiːnda
thou: ŋiyaɲagay
thou: ŋuɟawiɲ
throat: ugur
throat: ur̥u
throat: wuːṛu
throw: birawa
throw: idaːyma
thunder: buruːmgay
thunder: yuruway
tie: gani
today: giːli
tomorrow: guːṛulaw
tomorrow: ŋubu
tomorrow: yabur
tongue: gaɲaːmbil
tongue: yaɲaːmbil
tooth: diːṛa
tooth: dir̥a
tree: biguːr
tree: yaliːgar
two: bulari
two: yulwari
vagina: binaɲ
walk: bilagara
walk: birmadi
walk: ya
walk: ya(ː)
walk: yaːra
walk: yar̥a
wallaby: abi
wallaby: buliːɲ
wallaby: waguːray
warm: wiːgun
warm: wiːgun
warm: yawira
wash: wuluːgi
wash: wuluːgigura
water: ŋaːlu
water: ŋaːlu
weep: duː(ŋ)
weep: duːwa
we (excl.): ŋiyagay
we (incl.): ŋiyaː
we (incl.): ŋiyaːɲa
we: ŋaliːga
we: ŋaliːŋa
wet: galɲam
we two (excl.): ŋaliːɲagay
we two (excl.): ŋaligay
we two (incl.): ŋaliː
we two (incl.): ŋaliːɲa
what: miɲa
when: ɟugarga
where: ɟugi
white: gaṛaːban
white: ŋaduːra
who: waːru
wide: balgaːr
wife: ɲami
wife: milgir
wind: alina
wind: guriːn
woman: milgir
wood: biguːr
wood: biguːr
yesterday: yaŋidawu
you two: bulaː
you two: bulaːɲa
you two: yulwari
