all: ɣɔːmaba
fear: ŋawariyäːmaya
fear: ŋɔṛiyɛːmaiya
fear: waɹ̣ayemaya
feather: balabala
feather: balbbala
feather: meyameya
few: binivelveliva
fight: barabuːyɛ
finger: gaɟa
finger: gaɟi
finger: kuɟa
finger: kuɟa
fingernail: ɹ̣akaya
fire: ŋalŋaḍa
fire: yuwiya
fire: yuwiya
fire: yuya
fire: (yuya) ɟaŋoma kaɹ̣eɲɟeya
fish: bokala
fish: yɔːgara
fish: yokkara
fish: yokkarra
float: bbeŋka
flow: ɟawa
flower: kaloḷa
fly (n.): maɲɟimiɲɟa
fly (n.): maɲimiːnɟa
fly (n.): manɟimiːnda
fly (v.): gandabulinɟeya
fog: ɹ̣oya
fog: walaŋaːnɟara
foot: gaɟi
foot: kuɟa
forehead: miba
forehead: mibba
forest: inagaːba
full: ɟabadagamaiane
full: ŋaiɲiɲe
girl: ɲaɟaːga
girl: ɲaɟaːgu
girl: ɟaɹ̣wara
girl: kaɹ̣okaɟja
give: -wa
give: wu
give: wu
good: dɔːdbalg
good: dɔdbaḷg
good: doḍbalk
grass: makkukka
grass: yärawɔːṛa
green: gagadameme ya
guts: bburrbba
guts: burbba
hair: meyameya
hair: muɹ̣aka
hair: muɹ̣aka
hair: neyameya
hair: yalaŋala barubaru
hair: yalaŋalo
hand: gaɟi
hand: guɟi-
hand: kuɟa
head: yuŋga-
head: yuŋgu
head: yuṇka
head: yuwuŋgu
hear: galagalaṛa
hear: galagalaṛa
hear: lakala
hear: lakala
heart: maḍḍuḍḍiba
heart: maḍuḍiba
heart: ɟuḍɟuḍ
heavy: ɟaɹ̣ama
heavy: ɟarama ~ yarama
heavy: ɟarame
here: ɟebba
here: ɟibba
here: ɟibba
he/she: na
he/she: naɣebba
he/she: nakebba
he/she: ŋaya
he/she: ŋayabba
he/she: ŋayabba
hit: bu
hit: bu
hit: ŋaibɔːnara
hold: ɹ̣imi
hold: (ŋaiyaga)ma
hold: rimi
hold: rimi
hole: garara
hunt: ŋaianɛla
husband: ŋaŋaba
husband: ŋaɟɔrga
I: ɲabba
I: ŋaiaba
I: ŋayabba
I: ŋayabba
jaw: ɹ̣amalowaɲɟa
jaw: maŋalowara
kangaroo: guɟbara
kangaroo: kuɟbara
kangaroo: kuɟbarra
kill: ŋaiwundala
knee: ɲamaɲa
knee: ɲamaɲa
knee: namaɲi
know: kalawa
know: ŋalawaiya
know: nibba
lake: nabalaːmbala
lake: ŋanalakarbba
laugh: ɟarama
laugh: ŋaiyaramara
leaf: gagara
leaf: kakara
leaf: meyameya
leaf: meyameya
left: baymala ~ bimala
left: ŋabiːĭmala
leg: badawura
lie: bbaɲɟeya
lie: ŋagɔːṛa
lie: yo
lie: yo
lightning: ɲanagɔːnɟeyaŋo-da
lightning: ma- -ba
lip: ɟabbaḍa
lip: ŋaiyagalaiya
live: gaiyawa ŋanaburyana
live: ɟiɲwa
liver: ŋaḍabbamba
liver: ŋaḍamba
long: gara
long: karakaramaḍba
long: maːdba
long: wurēyag
louse: barawugala
louse: gaːda
louse: kadda
louse: kadda
louse: kadda
louse: kakarakarawaŋa
man: laḷama
many: gárawa
man: yiɟa
man: yiːɟa
man: yiːɟa
many: karowa
many: karrowa
meat: -gaːngara
meat: gaːngara
meat: kankara
meat: kankarra
meat: kankarra
moon: bukkuluḷ
moon: digilgara
moon: dilkara
moon: dilkara ɹ̣eɲmala kayoɹ̣a
moon: dilkarra
moon: reɲmaḷa
morning: wɛːganaba
morning: wɛːgunaba
mosquito: maḍirbala
mosquito: maḍirrbala
mosquito: modiyirbala
mother: giːĭga
mother: kikka
mother: kikka
mountain: muwara
mountain: muwara
mouth: ɟaba
mouth: ɟäbara
mouth: ɟabbaḍa
name: nawalaːŋaiyora
name: wala(~ nala)
nape: ɟaɹ̣eya
nape: garɛː
navel: ɟaŋeɹ̣a
navel: ɟɔranɟa ŋarɛ
near: bareːyaba
near: bareyabba
neck: garɛː
neck: kaḷa
neck: maḍba
new: gɛːgaga
new: kakkaka
night: wekkana
night: wekkana
not: gɔːma
not: koma
old: ɟawaḷbba ~ yawaḷbba
old: ɟawaḷbba ~ yawaḷbba
old: ɲa-yawaḷbba
old: ɟiɟa
old: ɟiːɟa
old: n-ɟawaḷbba
old: yawaḍba
one: waɹ̣abba
one: warabbana
one: woṛabana
other: giːga
person: kalakarra
person: lakara
person: yiːɟa
play: ɹ̣awaya
play: yivaiyiva
pull: ɟarɟɟa
pull: bala-kkakka
push: kakka
push: kakka
rain: ɲilaɲila
rain: maloya
rain: maloya
rain: malɔːyu
rain: ŋuḷɟar
rat: ɟanmara
red: ɲabolara
red: ganbuliːbala
red: kambukka
right: ndakabbiḍa
right: woṛol
ripe: gaːɟa
ripe: kaḍɟa
ripe: karɟ(ɟ)a
river: kalakarbba
river: kaṇayeɟabba
river: ŋämanagurga
river: ŋaːmanagurgu
road: galaguwɔrba
road: kaḷakorbba
root: guɟa
root: ɟoya
rope: baḍiwaŋa
rope: baḍiwaŋa
rope: bariwuŋana
rotten: gunabɔːnba
rotten: nabboṇba
round: gungaliyaːla
rub: ŋaiyigɔrɔ
salt: wariwara
sand: ɹ̣anba
sand: ṛaːnba
say: ŋaŋuɟiya
say: ŋuɟeyi
say: ŋuɟeyi
say: yaŋka
scratch: ɹ̣iyi
scratch: ŋaiyarinɟa
sea: gamanave  ɟa garana
sea: namanerbalmiba
sea: namanirivaliva
sea: wariwara
seed: biːlgara
seed: dila
see: na
see: na
see: -na-
sharp: ɹ̣araŋala
sharp: yidan maiɟana
short: ndaḷaɟa
short: ŋandaleːɟa
shoulder: ɲayaɹ̣a
shoulder: niyaːre
shoulder: yakaɹ̣a
sing: mayawayi
sing: ŋaibinɟiba
sister: ɟaba
sister: ɟabba
sister: kaḷamaɹ̣a
sister: ŋuraɹ̣akka
sister: -nɔːṛa
sit: ŋaiyagana
sit: no
sit: no
skin: gɔːda
skin: gɔːda ŋaiyageː ga-ba
skin: (k)kodda
skin: kodda
sky: maleya
sleep: yo
sleep: -yɔːṛa
small: namanda
small: ŋanabiɛːlbara
small: ŋanamanda
smell: biwaya
smell: biwaya
smell: yabiwa
smoke: ɟakora
smoke: gɔlɔŋanɟara
smoke: gɔlɔŋanɟara
smoke: walaŋaɲɟara
smooth: karumakkara
smooth: manduːwura
snake: garawaleya
snake: kaɹ̣owalaya
son: garugaɟa
stand: ɹ̣eɲɟeyi
stand: ŋaranɟiya
stand: reɲɟeyi
star: ɲakaḍɟa
star: ɲananabba
star: maːlba
star: yinanabu
stone: waleigara
stone: waleigara
stone: waleykara
stone: waleykara
straight: manɟad
straight: nakkurŋaṇawa
suck: gaḷɔḷɔgaba
sun: warawaru
sun: warwara
sun: warwara
sweet: ɟaːbanme
sweet: ɟabbaṇma
sweet: baḷuya
sweet: kaddeyana
sweet: kaɹ̣onmaɲa
swim: ŋaiyamɛdiimala
swim: nmarimaḷo
tail: galagala
tail: ɟuya
tail: walaya
take: ganagunɟa ɟumaŋa
take: maɲɟa
take: maṛaguna
take: ɟorka
that: ɟeyabba
there: ɟeːyabe
there: ŋani
they: barageaba
they: barayabba
they two: barayabbaɲa
they two: birikebba
thigh: memaḷa
thigh: mɛmala
think: ŋaiyagulawa
think: ŋawaya
thin: namanda
thin: nawaramaya
thin: wɔngabɔːra
this: ɟebba
thou: ɲiɲɟaba
thou: ɲiɲɟabba
thou: narageaba
thou: ŋga
thou: nurabba
three: two plus one
throat: ŋaliɟbiɲa
throat: ŋaliɟbiɲa
throat: ŋalidbiɲi
throw: ŋaiyagawaga
throw: rawo
thunder: gabalanabu
thunder: ŋawiya
thunder: walanaɲɟayiba
tie: ɟakkabo
tie: ɟakkabo
tie: mawa
today: banɔːmanɟa
tomorrow: wɛaganabe
tomorrow: wekanabba
tongue: ɟaŋoṇa
tongue: daŋal
tongue: ɟuŋɔḷ
tooth: ɹ̣idda
tooth: yida
tree: ŋanabalama ~ kuḷa
tree: yanabalaːna
turn: ndabaḷiɲɟa
turn: ndabaḷiɲɟeyi
turn: ŋandabulinɟina
two: kaṇayeɟabba
two: kaṇayeɟabba
two: ŋaniyeːɟaba
unripe: baḷaŋa
unripe: (b)barlaŋa
vagina: ɹ̣ara
vomit: nawala -yaŋka
vomit: ŋawula ŋaiyagayaŋga
walk: ɟiri
walk: -ɟirri
walk: ŋaiɲau
walk: ŋaiyagunɟiŋaṛa-ŋaṛa
walk: ŋiririːya
walk: ɟorkkaŋaya
wallaby: guɟbara
warm: ŋaiyɛgaːya
warm: waḷir
wash: ŋaiɟama
wash: ŋaiɟaːma
wash: ŋaiɟamai
water: gaba
water: kabba
water: kabba
water: nabaḷambaḷa
water: nabaḷambaḷa
water: ŋaribɔrɔːbiva
weep: ɲiɲɟa
weep: kaḷeŋaḷa
weep: ŋaɲinɟa
we (excl.): ɲarageaba
we (excl.): ɲirabba
we (incl.): ŋaraba
we (incl.): ŋurabba
wet: kaḷa
we two (excl.): narayabbaɲa
we two (excl.): ŋirikebba
we two (incl.): ŋarabba
what: ŋale
what: ŋale
what: ŋalewaɹ̣a
what: ŋalewaɹ̣a
what: ŋeɟa
when: ɲäɣayaba
where: kammawa
where: yēbane
white: baṇamarakka
white: naɹ̣arma
white: ŋanaṛame
who: ɲuŋga
who: ɲuŋkowaɹ̣a
wide: ɟareyara
wife: ɲaŋaba
wife: ŋanɟɔrgaba
wind: balawurrwurr
wind: balawurwara
wind: balawurwur
wing: balbala
wing: balbbala
woman: ŋaiyara
woman: ŋaraːm
woman: ŋarama
woman: ŋaṛaːma
woman: ŋarrama
wood: ŋanabalama ~ kuḷa
wood: ŋanabalama ~ kuḷa
wood: ŋanabulaːna
wood: yuwiya
woomera: ŋanarɛmaya
woomera: yiṇḍiɟ
worm: wuya
yellow: ɲabbaḷaŋa
yellow: baṛiyäla
yesterday: nabalobala
yes: yoː
you two: narayabbaɲa
you two: nirikebba
