all: gənná
sand: bəsaːφúː
sand: kurni
sand: taφú
say: n˗
say: nuk
say: φat
scratch: gam
scratch: kɔ́gɔ́
see: dit
seed: košeniː
seed: mušɪ́ni
see: dot
see: dut
sew: sɔk
sharp: girbí
sharp: kɔr
short: kɔ́rɛ
short: kwere
short: kwɔ́rɛi
shoulder: aːφəri
shoulder: ɛfiri
shoulder: eheri
shoulder: φoːlomče
sing: doːna go
sister: deːbóbu
sister: dədib
skin: aší
skin: ašye
sky: áskeno
sky: sáiː
sleep: nyák
small: addɛ́
small: kono
small: kuere
small: ténei
smoke: əzzi
smoke: ze
smooth: awar
smooth: ču
snake: ausú
snake: duro
snake: goli
snake: liddi
sour: čačao
split: rɛ́
split: φar
split: φarφar
squeeze: gòs
stand: tus
star: tɛski
stone: ɛi
stone: ɛyɪ́
stone: tígi
stone: tótoː
stone: tugéː
stone: yi
stone: φadaǯ
straight: dili
straight: dúli
suck: nančú
suck: yap
sun: ize
sun: wzzé
sun: zɛ
sweet: abibiu
sweet: asal
sweet: eyemφi
sweet: gorči
swell: φu
swim: iyi
swim: ma
swim: muk
tail: héːdi
tail: kampúdu
tail: φidiː
tail: φiré
tail: φúdi
tail: φúdu
take: gɔ́
that: tara
that: teiye
they: hənto
they: mura
they: səgəntá
they: səgəntá˗ga
they: ˗suntu
they: yintu
think: n˗
thin: tenei
this: dɛ
this: sa
thou: m(u)ra
thou: ˗nəm
thou: nəntá˗ga
thou: nore
thou: nta
thou: ntá ga
thou: ˗ntum(a)
thou: nubra
thou: nubre
three: agozo
throw: biyɛt
throw: koso
throw: kùsù
tie: tù
tongue: tərhi
tongue: tərše
tongue: tirméːsu
tongue: triší
tooth: teː
tooth: teiː
tooth: tomai
tree: akkɛ́
tree: ɛkɛ́
tree: idi
turn: kurkuru
two: ču
vagina: čilla
vagina: tantaŋkɛ́
walk: ta
walk: təgand
walk: tɛːt
warm: kiddɛ́
warm: tənty
warm: uneki
warm: úneki
warm: waltedɛ
warm: winige
wash: keːz
wash: tul
wash: ǯam
water: i
water: iyi
water: yi
we (excl.): təntá
we (excl.): təntá
we (incl.): nənta
we (incl.): nənta
we: ˗ntər
wet: ɛnnɪ́
we: tənta˗ga
wet: nébtu
we: tɔbra
what: ín(d)i
when: kənna
when: kína
when: wókena
where: koː
where: kondoː
where: kundɔdú
where: kwɔ
where: nókondo
white: čoː
white: čógo
white: čŭː
white: kyu
who: nya(i)
wide: dogú
wide: doko
wife: aččé bui
wife: adé˗i
wind: árei
wind: awən
wind: awɔn
wind: awono
wind: obono
wind: woːre
wing: éheri
wing: ɛφɪrɪ́
woman: adé
woman: ádibi
wood: kolai
wood: kórkje
worm: kármi
worm: kúli
year: ɛbeː
year: empiː
year: ŋele
year: ŋgéle
year: saga
yellow: li
yellow: mini kirnáːko
yellow: ŋgéni
yellow: saφra
