ankle: nuku
swim: kaːn̪t̪a
tail: kaːn̪t̪u
tail: yaṛari
take: mumai
take: n̪ut̪ai
take: t̪untiː
there: paː
they: t̪ina
they: t̪inaː
they two: puyu
they two: puyuː
thigh: ŋul̪t̪u
thin: mani
thorn: waɟin
thou: ɲini
thou: n̪utu
thou: n̪utuː
thou: ɲunku
three: kulpai
throw: i̪ititi
thunder: marapaŋka
thunder: murka-murka
thunder: ruŋkakuŋu
thunder: ruŋula
tie: kanimai
today: iʎa
tomorrow: waṭaŋa
tongue: mali
tooth: at̪in̪t̪a
tree: kunka
turn: wakini
two: l̪uati
vagina: iḷa
vagina: panti
vagina: t̪inti
vomit: ŋarkumai
vomit: ulmu
walk: iŋka
walk: t̪una
walk: wanti
warm: maka-maka
warm: puyut
warm: puyut(-puyut)
wash: ɟara
wash: ɟaralmai
wash: kari
water: kuː
weep: luŋa
we: ŋata
we: ŋataː
wet: kuːyan
wet: kuːyanati
wet: t̪ilŋi
we two (incl.): ŋal̪i
we two (incl.): ŋal̪iː
what: n̪aka
where: araka-t̪i
white: pula-pula
who: n̪ani
wide: pin̪t̪a
wife: kuŋi
wife: makutu ~ markutu
wind: unukati
wind: unu(ŋ)kari
wing: yun̪t̪u
wipe: kari
woman: karau
woman: kiɲɟa
woman: marapai
wood: kunka
wood: kunka
wood: t̪ulat
wood: wapu
woomera: ulmun
woomera: wamira
yellow: paru
yesterday: ŋain̪i
you two: mpaya
you two: mpayaː
