all: wɛ
two: ǀkʌm
vomit: ǀka͂u͂
walk: ǃkara
walk: ǃko͂ate
walk: ǃkoːeːta
walk: ǁkɔri
walk: ǃku
walk: ǃku͂
walk: ǃku͂
warm: kuru
warm: kuruša
wash: ǁk\aː
water: čaša
weep: k\\weː
weep: k\\xai
we (excl.): ši˗ta
we (excl.): si˗ta˗di
we (incl.): si
we (incl.): si
we (incl.): ši
we (incl.): ši
we (incl.): si˗ta
we (incl.): si˗ta
we: ši˗ǁkei
we: si˗še
we: ši˗si
we: ši˗ta
we: si˗ti
we: si˗ǯi
wet: ǃxeː
what: duː˗
what: duːxu
where: duːša
white: ǃuː
who: dina
wife: hoːša
wife: kwɛša
wind: ǂa͂ːba
wing: ǁkabuži
with: ǀkwa
with: kwe
woman: ǁgai kwesa
woman: kwesa
wood: ǁabi
wood: hiːba
wood: ǁkau
wood: ǁkwe
year: kuri
yellow: ǀkɔre
yesterday: kauara
yesterday: tuːa
