identifier	lang_code	language	n_transcribed	dom_script	ipa_density	ipa_char_ratio	nonascii_ratio	americanist_ratio	transcription_system
rosettaproject_ahh_swadesh-1	ahh	Aghu	322	Latin	0.158	0.044	0.086	0.002	light_ipa
rosettaproject_aif_swadesh-1	aif	Agi	55	Latin	0.164	0.029	0.083	0.006	light_ipa
rosettaproject_ail_swadesh-1	ail	Aimele	152	Latin	0.257	0.074	0.188	0.0	ipa_dense
rosettaproject_ain_swadesh-1	ain	Ainu	2555	Latin	0.123	0.026	0.106	0.035	light_ipa
rosettaproject_aja_swadesh-1	aja	Aja	215	Latin	0.367	0.1	0.331	0.019	ipa_dense
rosettaproject_akc_swadesh-1	akc	Mpur	657	Latin	0.248	0.083	0.131	0.0	light_ipa
rosettaproject_akh_swadesh-1	akh	Angal Heneng	53	Latin	0.038	0.011	0.086	0.037	americanist
rosettaproject_aki_swadesh-1	aki	Aiome	25	Latin	0.28	0.08	0.119	0.0	ipa_dense
rosettaproject_akj_swadesh-1	akj	Aka-Jeru	38	Latin	0.0	0.0	0.027	0.0	latin_diacritic
rosettaproject_akl_swadesh-1	akl	Inakeanon	185	Latin	0.411	0.084	0.161	0.0	ipa_dense
rosettaproject_akm_swadesh-1	akm	Aka-Bo	267	Latin	0.921	0.284	0.268	0.002	ipa_dense
rosettaproject_akq_swadesh-1	akq	Ak	1	Latin	0.0	0.0	0.0	0.0	plain_ascii
rosettaproject_akv_swadesh-1	akv	Akhvakh	113	Latin	0.23	0.054	0.202	0.032	light_ipa
rosettaproject_akx_swadesh-1	akx	Aka-Kede	524	Latin	0.462	0.156	0.149	0.0	ipa_dense
rosettaproject_aky_swadesh-1	aky	Aka-Kol	668	Latin	0.449	0.123	0.109	0.0	ipa_dense
rosettaproject_alh_swadesh-1	alh	Alawa	407	Latin	0.302	0.056	0.146	0.0	ipa_dense
rosettaproject_ali_swadesh-1	ali	Amaimon	354	Latin	0.316	0.086	0.112	0.0	ipa_dense
rosettaproject_als_swadesh-1	als	Albanian, Tosk	150	Latin	0.0	0.0	0.108	0.0	latin_diacritic
rosettaproject_alw_swadesh-1	alw	Alaba-K'abeena	95	Latin	0.779	0.205	0.233	0.034	ipa_dense
rosettaproject_alx_swadesh-1	alx	Amol	76	Latin	0.289	0.064	0.145	0.0	ipa_dense
rosettaproject_aly_swadesh-1	aly	Alyawarr	299	Latin	0.304	0.06	0.165	0.0	ipa_dense
rosettaproject_amf_swadesh-1	amf	Hamer-Banna	106	Latin	0.745	0.225	0.26	0.037	ipa_dense
rosettaproject_amg_swadesh-1	amg	Amarag	241	Latin	0.224	0.032	0.105	0.0	light_ipa
rosettaproject_amh_swadesh-1	amh	Amharic	118	Latin	0.746	0.232	0.27	0.048	ipa_dense
rosettaproject_amj_swadesh-1	amj	Amdang	34	Latin	0.147	0.05	0.465	0.008	light_ipa
rosettaproject_amm_swadesh-1	amm	Ama	490	Latin	0.443	0.175	0.27	0.0	ipa_dense
rosettaproject_amn_swadesh-1	amn	Amanab	21	Latin	0.0	0.0	0.028	0.0	latin_diacritic
rosettaproject_amp_swadesh-1	amp	Alamblak	419	Latin	0.442	0.148	0.213	0.008	ipa_dense
rosettaproject_amt_swadesh-1	amt	Amto	246	Latin	0.195	0.052	0.088	0.0	light_ipa
rosettaproject_amy_swadesh-1	amy	Ami	141	Latin	0.475	0.126	0.163	0.0	ipa_dense
rosettaproject_amz_swadesh-1	amz	Atampaya	486	Latin	0.414	0.073	0.157	0.0	ipa_dense
rosettaproject_anc_swadesh-1	anc	Ngas	72	Latin	0.639	0.306	0.553	0.0	ipa_dense
rosettaproject_anh_swadesh-1	anh	Nend	383	Latin	0.337	0.087	0.182	0.0	ipa_dense
rosettaproject_ani_swadesh-1	ani	Andi	113	Latin	0.265	0.069	0.185	0.038	ipa_dense
rosettaproject_anj_swadesh-1	anj	Anor	106	Latin	0.038	0.01	0.138	0.0	latin_diacritic
rosettaproject_anq_swadesh-1	anq	Jarawa	1327	Latin	0.335	0.116	0.136	0.007	ipa_dense
rosettaproject_anu_swadesh-1	anu	Anuak	97	Latin	0.804	0.296	0.429	0.056	ipa_dense
rosettaproject_anz_swadesh-1	anz	Anem	336	Latin	0.217	0.056	0.124	0.003	light_ipa
rosettaproject_aod_swadesh-1	aod	Andarum	14	Latin	0.143	0.031	0.076	0.0	light_ipa
rosettaproject_aof_swadesh-1	aof	Bragat	20	Latin	0.35	0.079	0.223	0.0	ipa_dense
rosettaproject_aog_swadesh-1	aog	Angoram	459	Latin	0.41	0.12	0.187	0.005	ipa_dense
rosettaproject_aoi_swadesh-1	aoi	Anindilyakwa	306	Latin	0.075	0.012	0.042	0.0	light_ipa
rosettaproject_aoj_swadesh-1	aoj	Mufian	3	Latin	0.0	0.0	0.0	0.0	plain_ascii
rosettaproject_aon_swadesh-1	aon	Arapesh, Bumbita	15	Latin	0.0	0.0	0.074	0.0	latin_diacritic
rosettaproject_aos_swadesh-1	aos	Taikat	809	Latin	0.084	0.016	0.04	0.001	light_ipa
rosettaproject_ape_swadesh-1	ape	Bukiyip	246	Latin	0.081	0.016	0.052	0.009	light_ipa
rosettaproject_apq_swadesh-1	apq	A-Pucikwar	933	Latin	0.339	0.129	0.116	0.0	ipa_dense
rosettaproject_apz_swadesh-1	apz	Safeyoka	103	Latin	0.0	0.0	0.038	0.0	latin_diacritic
rosettaproject_aqm_swadesh-1	aqm	Atohwaim	120	Latin	0.125	0.033	0.055	0.0	light_ipa
rosettaproject_arb_swadesh-1	arb	Arabic, Standard	228	Latin	0.289	0.08	0.497	0.0	native:Arabic
rosettaproject_are_swadesh-1	are	Arrarnta, Western	204	Latin	0.368	0.089	0.201	0.0	ipa_dense
rosettaproject_arg_swadesh-1	arg	Aragonese	106	Latin	0.0	0.0	0.02	0.0	latin_diacritic
rosettaproject_arq_swadesh-1	arq	Arabic, Algerian Spoken	105	Latin	0.705	0.219	0.341	0.0	ipa_dense
rosettaproject_arv_swadesh-1	arv	Arbore	91	Latin	0.22	0.048	0.097	0.013	light_ipa
rosettaproject_arw_swadesh-1	arw	Arawak	245	Latin	0.139	0.036	0.163	0.0	light_ipa
rosettaproject_arz_swadesh-1	arz	Arabic, Egyptian Spoken	100	Latin	0.68	0.171	0.22	0.0	ipa_dense
rosettaproject_asc_swadesh-1	asc	Asmat, Casuarina Coast	377	Latin	0.008	0.002	0.015	0.0	latin_diacritic
rosettaproject_asd_swadesh-1	asd	Asas	340	Latin	0.256	0.07	0.081	0.0	ipa_dense
rosettaproject_asi_swadesh-1	asi	Buruwai	180	Latin	0.006	0.001	0.009	0.0	plain_ascii
rosettaproject_aso_swadesh-1	aso	Dano	267	Latin	0.247	0.041	0.042	0.001	light_ipa
rosettaproject_asv_swadesh-1	asv	Asoa	208	Latin	0.548	0.187	0.386	0.005	ipa_dense
rosettaproject_asx_swadesh-1	asx	Muratayak	53	Latin	0.642	0.262	0.287	0.0	ipa_dense
rosettaproject_ata_swadesh-1	ata	Pele-Ata	283	Latin	0.134	0.035	0.059	0.0	light_ipa
rosettaproject_ate_swadesh-1	ate	Atemble	397	Latin	0.335	0.092	0.157	0.0	ipa_dense
rosettaproject_auk_swadesh-1	auk	Heyo	54	Latin	0.222	0.052	0.086	0.0	light_ipa
rosettaproject_aun_swadesh-1	aun	One, Molmo	60	Latin	0.15	0.04	0.05	0.0	light_ipa
rosettaproject_auw_swadesh-1	auw	Awyi	643	Latin	0.036	0.008	0.036	0.0	latin_diacritic
rosettaproject_auy_swadesh-1	auy	Awiyaana	693	Latin	0.206	0.037	0.062	0.001	light_ipa
rosettaproject_ava_swadesh-1	ava	Avar	114	Latin	0.228	0.064	0.189	0.022	light_ipa
rosettaproject_avl_swadesh-1	avl	Arabic, Eastern Egyptian Bedawi Spoken	100	Latin	0.68	0.173	0.257	0.0	ipa_dense
rosettaproject_avt_swadesh-1	avt	Au	176	Latin	0.364	0.095	0.109	0.0	ipa_dense
rosettaproject_awb_swadesh-1	awb	Awa	611	Latin	0.159	0.035	0.055	0.0	light_ipa
rosettaproject_awi_swadesh-1	awi	Aekyom	107	Latin	0.224	0.073	0.087	0.0	light_ipa
rosettaproject_awm_swadesh-1	awm	Arawum	359	Latin	0.281	0.081	0.118	0.002	ipa_dense
rosettaproject_awn_swadesh-1	awn	Awngi	97	Latin	0.505	0.137	0.234	0.034	ipa_dense
rosettaproject_awr_swadesh-1	awr	Awera	294	Latin	0.248	0.058	0.126	0.0	light_ipa
rosettaproject_awx_swadesh-1	awx	Awara	48	Latin	0.438	0.117	0.173	0.0	ipa_dense
rosettaproject_aya_swadesh-1	aya	Awar	91	Latin	0.066	0.016	0.085	0.0	light_ipa
rosettaproject_ayz_swadesh-1	ayz	Mai Brat	719	Latin	0.001	0.0	0.022	0.0	latin_diacritic
rosettaproject_bam_swadesh-1	bam	Bamanankan	285	Latin	0.316	0.12	0.162	0.025	ipa_dense
rosettaproject_ban_swadesh-1	ban	Bali	180	Latin	0.383	0.102	0.181	0.027	ipa_dense
rosettaproject_bbc_swadesh-1	bbc	Batak Toba	197	Latin	0.284	0.072	0.13	0.008	ipa_dense
rosettaproject_bbd_swadesh-1	bbd	Bau	390	Latin	0.3	0.098	0.1	0.0	ipa_dense
rosettaproject_bbf_swadesh-1	bbf	Baibai	280	Latin	0.454	0.11	0.208	0.0	ipa_dense
rosettaproject_bbl_swadesh-1	bbl	Bats	118	Latin	0.203	0.052	0.271	0.017	light_ipa
rosettaproject_bbr_swadesh-1	bbr	Girawa	394	Latin	0.31	0.107	0.116	0.002	ipa_dense
rosettaproject_bdh_swadesh-1	bdh	Baka	24	Latin	0.208	0.057	0.12	0.0	light_ipa
rosettaproject_bdi_swadesh-1	bdi	Burun	95	Latin	0.632	0.2	0.309	0.038	ipa_dense
rosettaproject_bdq_swadesh-1	bdq	Bahnar	91	Latin	0.593	0.196	0.224	0.0	ipa_dense
rosettaproject_bds_swadesh-1	bds	Burunge	188	Latin	0.362	0.08	0.164	0.022	ipa_dense
rosettaproject_bdw_swadesh-1	bdw	Baham	351	Latin	0.006	0.001	0.017	0.0	latin_diacritic
rosettaproject_bdy_swadesh-1	bdy	Bandjalang	785	Latin	0.501	0.11	0.155	0.0	ipa_dense
rosettaproject_bef_swadesh-1	bef	Benabena	255	Latin	0.416	0.07	0.059	0.001	ipa_dense
rosettaproject_bej_swadesh-1	bej	Bedawiyet	130	Latin	0.754	0.225	0.261	0.006	ipa_dense
rosettaproject_beo_swadesh-1	beo	Beami	429	Latin	0.228	0.066	0.134	0.0	light_ipa
rosettaproject_beu_swadesh-1	beu	Blagar	629	Latin	0.102	0.033	0.073	0.001	light_ipa
rosettaproject_bey_swadesh-1	bey	Beli	73	Latin	0.151	0.043	0.108	0.0	light_ipa
rosettaproject_bfa_swadesh-1	bfa	Bari	11	Latin	0.636	0.188	0.566	0.0	ipa_dense
rosettaproject_bfn_swadesh-1	bfn	Bunak	305	Latin	0.115	0.052	0.059	0.0	light_ipa
rosettaproject_bfw_swadesh-1	bfw	Bondo	95	Latin	0.411	0.124	0.164	0.0	ipa_dense
rosettaproject_bgo_swadesh-1	bgo	Baga Koga	24	Latin	0.417	0.124	0.318	0.0	ipa_dense
rosettaproject_bgv_swadesh-1	bgv	Warkay-Bipim	109	Latin	0.119	0.028	0.082	0.0	light_ipa
rosettaproject_bhf_swadesh-1	bhf	Odiai	573	Latin	0.461	0.143	0.207	0.0	ipa_dense
rosettaproject_bhg_swadesh-1	bhg	Binandere	740	Latin	0.009	0.002	0.03	0.019	americanist
rosettaproject_bhl_swadesh-1	bhl	Bimin	45	Latin	0.0	0.0	0.028	0.0	latin_diacritic
rosettaproject_bhq_swadesh-1	bhq	Tukang Besi South	232	Latin	0.0	0.0	0.0	0.0	plain_ascii
rosettaproject_bic_swadesh-1	bic	Bikaru	98	Latin	0.02	0.004	0.012	0.0	latin_diacritic
rosettaproject_bie_swadesh-1	bie	Bepour	374	Latin	0.364	0.128	0.148	0.0	ipa_dense
rosettaproject_bif_swadesh-1	bif	Biafada	132	Latin	0.795	0.169	0.389	0.018	ipa_dense
rosettaproject_bio_swadesh-1	bio	Nai	300	Latin	0.473	0.157	0.236	0.0	ipa_dense
rosettaproject_bir_swadesh-1	bir	Bisorio	254	Latin	0.201	0.046	0.057	0.001	light_ipa
rosettaproject_bjc_swadesh-1	bjc	Bariji	32	Latin	0.031	0.005	0.005	0.0	plain_ascii
rosettaproject_bjd_swadesh-1	bjd	Bandjigali	103	Latin	0.32	0.066	0.209	0.0	ipa_dense
rosettaproject_bjg_swadesh-1	bjg	Bidyogo	323	Latin	0.715	0.178	0.365	0.016	ipa_dense
rosettaproject_bjh_swadesh-1	bjh	Bahinemo	163	Latin	0.368	0.116	0.12	0.0	ipa_dense
rosettaproject_bji_swadesh-1	bji	Burji	142	Latin	0.641	0.179	0.227	0.038	ipa_dense
rosettaproject_bjr_swadesh-1	bjr	Binumarien	186	Latin	0.237	0.062	0.097	0.0	light_ipa
rosettaproject_bjy_swadesh-1	bjy	Bayali	152	Latin	0.217	0.045	0.18	0.0	light_ipa
rosettaproject_bkc_swadesh-1	bkc	Baka	326	Latin	0.387	0.121	0.381	0.02	ipa_dense
rosettaproject_bkl_swadesh-1	bkl	Berik	842	Latin	0.157	0.032	0.046	0.005	light_ipa
rosettaproject_blb_swadesh-1	blb	Bilua	661	Latin	0.103	0.023	0.047	0.004	light_ipa
rosettaproject_ble_swadesh-1	ble	Balanta-Kentohe	136	Latin	0.882	0.225	0.412	0.03	ipa_dense
rosettaproject_blr_swadesh-1	blr	Blang	98	Latin	0.673	0.219	0.165	0.005	ipa_dense
rosettaproject_bmd_swadesh-1	bmd	Baga Manduri	28	Latin	0.714	0.217	0.419	0.043	ipa_dense
rosettaproject_bmh_swadesh-1	bmh	Kein	357	Latin	0.263	0.083	0.093	0.004	ipa_dense
rosettaproject_bmi_swadesh-1	bmi	Bagirmi	241	Latin	0.639	0.208	0.275	0.004	ipa_dense
rosettaproject_bmu_swadesh-1	bmu	Burum-Mindik	335	Latin	0.233	0.066	0.137	0.0	light_ipa
rosettaproject_bmx_swadesh-1	bmx	Baimak	355	Latin	0.256	0.078	0.084	0.0	ipa_dense
rosettaproject_bnv_swadesh-1	bnv	Beneraf	105	Latin	0.019	0.003	0.01	0.0	latin_diacritic
rosettaproject_bod_swadesh-1	bod	Tibetan, Central	139	Latin	0.863	0.182	0.327	0.03	ipa_dense
rosettaproject_boj_swadesh-1	boj	Anjam	357	Latin	0.19	0.051	0.089	0.004	light_ipa
rosettaproject_bon_swadesh-1	bon	Bine	1263	Latin	0.162	0.03	0.056	0.004	light_ipa
rosettaproject_bop_swadesh-1	bop	Bonkiman	2	Latin	0.5	0.111	0.222	0.0	ipa_dense
rosettaproject_boq_swadesh-1	boq	Bogaya	308	Latin	0.331	0.1	0.174	0.0	ipa_dense
rosettaproject_bot_swadesh-1	bot	Bongo	62	Latin	0.29	0.089	0.142	0.0	ipa_dense
rosettaproject_bpi_swadesh-1	bpi	Bagupi	366	Latin	0.306	0.102	0.123	0.001	ipa_dense
rosettaproject_bpm_swadesh-1	bpm	Biyom	315	Latin	0.181	0.044	0.074	0.0	light_ipa
rosettaproject_bpp_swadesh-1	bpp	Kaure	462	Latin	0.169	0.041	0.067	0.003	light_ipa
rosettaproject_bps_swadesh-1	bps	Blaan, Sarangani	183	Latin	0.443	0.146	0.166	0.0	ipa_dense
rosettaproject_bpu_swadesh-1	bpu	Bongu	365	Latin	0.192	0.054	0.083	0.0	light_ipa
rosettaproject_bpv_swadesh-1	bpv	Marind, Bian	142	Latin	0.063	0.015	0.047	0.0	light_ipa
rosettaproject_bpw_swadesh-1	bpw	Bo	337	Latin	0.335	0.092	0.138	0.0	ipa_dense
rosettaproject_bql_swadesh-1	bql	Bilakura	324	Latin	0.219	0.05	0.083	0.001	light_ipa
rosettaproject_bqq_swadesh-1	bqq	Biritai	266	Latin	0.098	0.024	0.03	0.002	light_ipa
rosettaproject_bqs_swadesh-1	bqs	Bosmun	120	Latin	0.042	0.009	0.062	0.0	latin_diacritic
rosettaproject_brh_swadesh-1	brh	Brahui	33	Latin	0.0	0.0	0.116	0.0	latin_diacritic
rosettaproject_brp_swadesh-1	brp	Barapasi	53	Latin	0.038	0.009	0.013	0.0	latin_diacritic
rosettaproject_brq_swadesh-1	brq	Breri	20	Latin	0.3	0.1	0.172	0.0	ipa_dense
rosettaproject_brv_swadesh-1	brv	Bru, Western	90	Latin	0.567	0.172	0.182	0.002	ipa_dense
rosettaproject_bsk_swadesh-1	bsk	Burushaski	1791	Latin	0.61	0.201	0.359	0.015	ipa_dense
rosettaproject_bsp_swadesh-1	bsp	Baga Sitemu	28	Latin	0.536	0.196	0.336	0.0	ipa_dense
rosettaproject_bst_swadesh-1	bst	Basketo	97	Latin	0.763	0.209	0.265	0.045	ipa_dense
rosettaproject_bsw_swadesh-1	bsw	Baiso	84	Latin	0.405	0.1	0.132	0.012	ipa_dense
rosettaproject_bug_swadesh-1	bug	Bugis	185	Latin	0.395	0.084	0.155	0.03	ipa_dense
rosettaproject_bul_swadesh-1	bul	Bulgarian	409	Latin	0.0	0.0	0.536	0.022	native:Cyrillic
rosettaproject_bun_swadesh-1	bun	Sherbro	423	Latin	0.537	0.167	0.406	0.022	ipa_dense
rosettaproject_buo_swadesh-1	buo	Terei	399	Latin	0.073	0.014	0.018	0.0	light_ipa
rosettaproject_buq_swadesh-1	buq	Brem	343	Latin	0.195	0.045	0.068	0.0	light_ipa
rosettaproject_but_swadesh-1	but	Bungain	157	Latin	0.49	0.121	0.166	0.001	ipa_dense
rosettaproject_buy_swadesh-1	buy	Bullom So	134	Latin	0.634	0.185	0.386	0.019	ipa_dense
rosettaproject_bvn_swadesh-1	bvn	Buna	312	Latin	0.442	0.113	0.13	0.004	ipa_dense
rosettaproject_bvr_swadesh-1	bvr	Burarra	395	Latin	0.473	0.108	0.173	0.0	ipa_dense
rosettaproject_bvz_swadesh-1	bvz	Bauzi	460	Latin	0.246	0.079	0.088	0.0	light_ipa
rosettaproject_bwk_swadesh-1	bwk	Bauwaki	71	Latin	0.014	0.003	0.003	0.0	plain_ascii
rosettaproject_bwo_swadesh-1	bwo	Borna	100	Latin	0.84	0.189	0.216	0.038	ipa_dense
rosettaproject_bxe_swadesh-1	bxe	Ongota	414	Latin	0.44	0.097	0.157	0.03	ipa_dense
rosettaproject_bxi_swadesh-1	bxi	Pirlatapa	32	Latin	0.25	0.052	0.17	0.0	ipa_dense
rosettaproject_bxz_swadesh-1	bxz	Binahari	164	Latin	0.104	0.029	0.028	0.0	light_ipa
rosettaproject_bye_swadesh-1	bye	Pouye	73	Latin	0.247	0.06	0.126	0.0	light_ipa
rosettaproject_bym_swadesh-1	bym	Bidyara	265	Latin	0.132	0.026	0.107	0.0	light_ipa
rosettaproject_byn_swadesh-1	byn	Bilen	96	Latin	0.948	0.345	0.367	0.025	ipa_dense
rosettaproject_byr_swadesh-1	byr	Baruya	101	Latin	0.0	0.0	0.108	0.0	latin_diacritic
rosettaproject_byt_swadesh-1	byt	Berti	212	Latin	0.113	0.027	0.185	0.008	light_ipa
rosettaproject_byx_swadesh-1	byx	Qaqet	364	Latin	0.0	0.0	0.055	0.0	latin_diacritic
rosettaproject_byz_swadesh-1	byz	Banaro	201	Latin	0.373	0.137	0.258	0.0	ipa_dense
rosettaproject_bzf_swadesh-1	bzf	Boikin	575	Latin	0.398	0.121	0.243	0.0	ipa_dense
rosettaproject_bzh_swadesh-1	bzh	Buang, Mapos	181	Latin	0.58	0.184	0.338	0.001	ipa_dense
rosettaproject_bzp_swadesh-1	bzp	Kemberano	628	Latin	0.032	0.006	0.072	0.007	latin_diacritic
rosettaproject_bzr_swadesh-1	bzr	Biri	291	Latin	0.1	0.02	0.084	0.0	light_ipa
rosettaproject_bzu_swadesh-1	bzu	Burmeso	316	Latin	0.123	0.023	0.066	0.007	light_ipa
rosettaproject_caa_swadesh-1	caa	Ch'orti'	144	Latin	0.0	0.0	0.003	0.0	plain_ascii
rosettaproject_cac_swadesh-1	cac	Chuj	142	Latin	0.0	0.0	0.019	0.0	latin_diacritic
rosettaproject_cae_swadesh-1	cae	Laalaa	135	Latin	0.748	0.282	0.32	0.018	ipa_dense
rosettaproject_cak_swadesh-1	cak	Kaqchikel	143	Latin	0.0	0.0	0.027	0.0	latin_diacritic
rosettaproject_can_swadesh-1	can	Chambri	227	Latin	0.264	0.085	0.159	0.003	ipa_dense
rosettaproject_car_swadesh-1	car	Carib	224	Latin	0.879	0.213	0.213	0.0	ipa_dense
rosettaproject_cat_swadesh-1	cat	Catalan-Valencian-Balear	150	Latin	0.0	0.0	0.016	0.0	latin_diacritic
rosettaproject_ccp_swadesh-1	ccp	Chakma	100	Latin	0.0	0.0	0.0	0.0	plain_ascii
rosettaproject_ceb_swadesh-1	ceb	Cebuano	248	Latin	0.0	0.0	0.0	0.0	plain_ascii
rosettaproject_ces_swadesh-1	ces	Czech	119	Latin	0.0	0.0	0.14	0.022	americanist
rosettaproject_cgc_swadesh-1	cgc	Kagayanen	183	Latin	0.311	0.075	0.115	0.0	ipa_dense
rosettaproject_che_swadesh-1	che	Chechen	115	Latin	0.191	0.048	0.154	0.024	light_ipa
rosettaproject_chr_swadesh-1	chr	Cherokee	35	Latin	0.0	0.0	0.0	0.0	plain_ascii
rosettaproject_chy_swadesh-1	chy	Cheyenne	188	Latin	0.0	0.0	0.048	0.017	americanist
rosettaproject_cji_swadesh-1	cji	Chamalal	115	Latin	0.261	0.077	0.247	0.03	ipa_dense
rosettaproject_cjn_swadesh-1	cjn	Chenapian	15	Latin	0.0	0.0	0.0	0.0	plain_ascii
rosettaproject_cjv_swadesh-1	cjv	Chuave	200	Latin	0.075	0.014	0.032	0.0	light_ipa
rosettaproject_cmn_swadesh-2	cmn	Chinese, Mandarin	101	Han	0.0	0.0	1.0	0.0	native:Han
rosettaproject_cns_swadesh-1	cns	Asmat, Central	847	Latin	0.02	0.005	0.021	0.001	latin_diacritic
rosettaproject_cog_swadesh-1	cog	Chong	94	Latin	0.468	0.143	0.155	0.0	ipa_dense
rosettaproject_cra_swadesh-1	cra	Chara	61	Latin	0.328	0.082	0.238	0.047	ipa_dense
rosettaproject_crk_swadesh-1	crk	Cree, Plains	183	Latin	0.0	0.0	0.0	0.0	plain_ascii
rosettaproject_crw_swadesh-1	crw	Chrau	89	Latin	0.461	0.156	0.165	0.0	ipa_dense
rosettaproject_css_swadesh-1	css	Ohlone, Southern	96	Latin	0.573	0.115	0.192	0.032	ipa_dense
rosettaproject_dad_swadesh-1	dad	Marik	182	Latin	0.06	0.014	0.078	0.0	light_ipa
rosettaproject_daj_swadesh-1	daj	Daju, Dar Fur	320	Latin	0.381	0.099	0.206	0.057	ipa_dense
rosettaproject_dal_swadesh-1	dal	Dahalo	225	Latin	0.618	0.155	0.334	0.013	ipa_dense
rosettaproject_dan_swadesh-1	dan	Danish	226	Latin	0.0	0.0	0.051	0.0	latin_diacritic
rosettaproject_dar_swadesh-1	dar	Dargwa	215	Latin	0.121	0.028	0.116	0.027	light_ipa
rosettaproject_dau_swadesh-1	dau	Daju, Dar Sila	177	Latin	0.203	0.045	0.129	0.042	light_ipa
rosettaproject_dax_swadesh-1	dax	Dayi	261	Latin	0.253	0.045	0.161	0.0	ipa_dense
rosettaproject_dba_swadesh-1	dba	Bangi Me	94	Latin	0.0	0.0	0.003	0.0	plain_ascii
rosettaproject_dbe_swadesh-1	dbe	Dabe	84	Latin	0.0	0.0	0.002	0.0	plain_ascii
rosettaproject_dbf_swadesh-1	dbf	Edopi	248	Latin	0.23	0.066	0.073	0.005	light_ipa
rosettaproject_dbl_swadesh-1	dbl	Dyirbal	262	Latin	0.458	0.099	0.152	0.0	ipa_dense
rosettaproject_ddg_swadesh-1	ddg	Fataluku	397	Latin	0.02	0.005	0.009	0.0	plain_ascii
rosettaproject_ddj_swadesh-1	ddj	Jaru	222	Latin	0.387	0.088	0.175	0.0	ipa_dense
rosettaproject_ddo_swadesh-1	ddo	Dido	117	Latin	0.197	0.056	0.186	0.033	light_ipa
rosettaproject_dec_swadesh-1	dec	Dagik	149	Latin	0.819	0.321	0.601	0.0	ipa_dense
rosettaproject_ded_swadesh-1	ded	Dedua	223	Latin	0.067	0.017	0.062	0.0	light_ipa
rosettaproject_deg_swadesh-1	deg	Degema	110	Latin	0.718	0.331	0.595	0.0	ipa_dense
